Country,Population_(in_thousands)_total,Population_annual_growth_rate_(%),Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Total_Recovered,Recovered_Percent
Afghanistan,26088,4,36263,1269,25198,9796,106,10,18,25216,252.16
Albania,3172,0.6,4880,144,2745,1991,117,6,63,2808,28.08
Algeria,33351,1.5,27973,1163,18837,7973,616,8,749,19586,195.86
Andorra,74,1,907,52,803,52,10,0,0,803,8.03
Angola,16557,2.8,950,41,242,667,18,1,0,242,2.42
Antigua and Barbuda,84,1.3,86,3,65,18,4,0,5,70,0.7
Argentina,39134,1,16136.09722,869.7361111,7084.340278,8182.020833,179.8680556,3.638888889,107.6666667,7192.006944,71.92006944
Armenia,3010,-0.3,37390,711,26665,10014,73,6,187,26852,268.52
Austria,8327,0.4,20558,713,18246,1599,86,1,37,18283,182.83
Azerbaijan,8406,0.6,30446,423,23242,6781,396,6,558,23800,238
Bahamas,327,1.2,382,11,91,280,40,0,0,91,0.91
Bahrain,739,1.9,39482,141,36110,3231,351,1,421,36531,365.31
Bangladesh,155991,1.8,16136.09722,869.7361111,7084.340278,8182.020833,179.8680556,3.638888889,107.6666667,7192.006944,71.92006944
Barbados,293,0.3,110,7,94,9,0,0,0,94,0.94
Belarus,9742,-0.5,16136.09722,869.7361111,7084.340278,8182.020833,179.8680556,3.638888889,107.6666667,7192.006944,71.92006944
Belgium,10430,0.3,66428,9822,17452,39154,402,1,14,17466,174.66
Belize,282,2.2,48,2,26,20,0,0,0,26,0.26
Benin,8760,3.1,1770,35,1036,699,0,0,0,1036,10.36
Bermuda,12661.46108,1.377245509,99,0,86,13,4,0,1,87,0.87
Bhutan,649,1.8,71181,2647,21478,47056,1752,64,309,21787,217.87
Bolivia,9354,1.9,10498,294,4930,5274,731,14,375,5305,53.05
Bosnia and Herzegovina,3926,0.3,739,2,63,674,53,1,11,74,0.74
Botswana,1858,1.2,16136.09722,869.7361111,7084.340278,8182.020833,179.8680556,3.638888889,107.6666667,7192.006944,71.92006944
Brunei Darussalam,382,2.1,10621,347,5585,4689,194,7,230,5815,58.15
Bulgaria,7693,-0.7,1100,53,926,121,14,0,6,932,9.32
Burkina Faso,14359,3,350,6,292,52,0,0,2,294,2.94
Burundi,8173,3.9,378,1,301,76,17,0,22,323,3.23
Cambodia,14197,1.7,2328,22,1550,756,21,0,103,1653,16.53
